FTC,largest_diff_sphere,density,max_sphere_a,max_sphere_b,max_sphere_c,included_sphere,rings_10,rings_11,rings_12,rings_14,rings_15,rings_16,rings_18,rings_20,rings_21,rings_3,rings_30,rings_4,rings_5,rings_6,rings_7,rings_8,rings_9,cbu_abw,cbu_afi,cbu_afs,cbu_aft,cbu_afy,cbu_ast,cbu_atn,cbu_ats,cbu_aww,cbu_bea,cbu_bik,cbu_bog,cbu_bph,cbu_bre,cbu_can,cbu_cas,cbu_cha,cbu_clo,cbu_d3r,cbu_d4r,cbu_d6r,cbu_d8r,cbu_ddr,cbu_doh,cbu_fer,cbu_gis,cbu_gme,cbu_imf,cbu_jbw,cbu_lau,cbu_lev,cbu_lio,cbu_los,cbu_lov,cbu_lta,cbu_ltl,cbu_mei,cbu_mel,cbu_mfi,cbu_mor,cbu_mso,cbu_mtn,cbu_mtt,cbu_mtw,cbu_mwf,cbu_nat,cbu_non,cbu_obw,cbu_pau,cbu_pcr,cbu_phi,cbu_rte,cbu_rth,cbu_rut,cbu_sod,cbu_stf,cbu_sti,cbu_ton,cbu_vsv,chains_dcc,chains_dnc,chains_dsc,chains_dzc,chains_nsc,pore_dimension_0,pore_dimension_1,pore_dimension_2,pore_dimension_3
CFI,7.26,16.8,2.62,7.26,2.4,7.47,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
CGF,3.03,19.0,2.29,1.46,3.03,5.76,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CGS,4.01,16.9,4.01,2.97,2.97,5.86,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHA,3.72,15.1,3.72,3.72,3.72,7.37,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHI,3.63,19.9,3.63,1.25,1.51,3.93,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CLO,6.31,11.1,6.31,6.31,6.31,15.72,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CON,5.6,15.7,4.89,4.89,5.6,7.45,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CSV,5.31,16.2,1.72,3.28,5.31,7.56,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CTH,7.45,16.2,7.45,3.92,2.22,8.14,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CZP,3.68,20.6,1.25,1.25,3.68,4.26,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
